"","group","treated","treated_male","treated_upvotes","id","male","age","job_raw","region_raw","poli_conserv","poli_conserv_fill","party_raw","party_liberal","party_conserv","metoo_attitude","comm_attitude","comm_hate","comm_liking","comm_user_attitude","comm_report","reply_attitude","reply_upvotes","reply_maleportion","reply_socialnorm","reply_liking","reply_user_attitude","reply_user_realname","reply_user_male","reply_user_female","reply_user_dontknow","reply_report","youtube_attitude","youtube_selfcorrection","youtube_regulation","law_individual","law_company","education","income"
"91","1",0,0,0,"1ed851c",1,31,"기타","경기",3,3,1,1,0,2,0,0.5,-0.5,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.5,1,0.5,1,6,7
"92","1",0,0,0,"8031f09",0,29,"무직","대전",2,2,1,1,0,3,-0.5,0.5,-1,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,0.5,8,4
"93","1",0,0,0,"6cbaf46",0,23,"대학생","서울",2,2,1,1,0,4,-1,0.5,-0.5,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,5,8
"94","1",0,0,0,"fa136da",0,35,"사무/기술직","서울",3,3,3,1,0,3,-1,1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,0.5,0,4,3
"95","1",0,0,0,"8c58c41",1,22,"대학생","울산",3,3,NA,0,0,3,0,-0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,0,0,3,7
"96","1",0,0,0,"66e79aa",0,41,"기타","서울",2,2,4,0,0,3,-0.5,0.5,-1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,0,0.5,6,4
"97","1",0,0,0,"4799698",0,27,"기타","울산",2,2,1,1,0,4,-1,1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0.5,0.5,2,11
"98","1",0,0,0,"d20c74f",0,26,"판매/영업 서비스직","서울",NA,3,1,1,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,1,1,1,2,11
"99","1",0,0,0,"3283e15",0,23,"대학생","경기",NA,3,3,1,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,0.5,1,5,6
"100","1",0,0,0,"e70cc82",1,33,"자유/전문직","서울",2,2,NA,0,0,4,-1,0,-1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,7,11
"101","1",0,0,0,"061170a",0,31,"사무/기술직","부산",2,2,1,1,0,5,-1,1,1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,1,1,6,8
"102","1",0,0,0,"4c52d1e",0,29,"자영업","서울",3,3,NA,0,0,3,-1,1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,5,11
"103","1",0,0,0,"7cfd0de",1,46,"경영/관리직","경기",2,2,1,1,0,5,-0.5,0.5,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,0.5,1,1,4,5
"104","1",0,0,0,"dd2584c",1,38,"사무/기술직","경기",2,2,4,0,0,3,0,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,0.5,0,4,5
"105","1",0,0,0,"0de8006",1,27,"대학원생","대전",5,5,2,0,1,5,0,0,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,1,1,1,7,1
"106","1",0,0,0,"8ae2d82",0,20,"사무/기술직","경기",3,3,NA,0,0,3,-1,0.5,-1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,1,0.5,0.5,2,7
"107","1",0,0,0,"84757b2",0,21,"대학생","대구",3,3,1,1,0,3,-0.5,0.5,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0.5,0.5,5,5
"108","1",0,0,0,"0f4180b",1,21,"대학생","서울",2,2,4,0,0,3,0,0.5,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,1,1,5,4
"109","1",0,0,0,"451a936",0,23,"대학생","서울",2,2,NA,0,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,1,1,1,4,6
"110","1",0,0,0,"b728011",1,32,"사무/기술직","서울",4,4,NA,0,0,3,-0.5,0.5,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,-1,-0.5,-0.5,6,8
"111","1",0,0,0,"4f4e704",0,28,"전업주부","경기",3,3,NA,0,0,4,-1,0,-1,-1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,6,6
"112","1",0,0,0,"6682975",0,28,"사무/기술직","충북",2,2,NA,0,0,5,-1,1,-1,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,1,1,0.5,6,5
"113","1",0,0,0,"7a47f74",0,37,"사무/기술직","인천",3,3,1,1,0,4,-0.5,0.5,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,6,9
"114","1",0,0,0,"b901c02",1,39,"사무/기술직","서울",5,5,2,0,1,4,-0.5,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,0.5,-0.5,-0.5,6,8
"115","1",0,0,0,"3f0e8ff",1,28,"사무/기술직","서울",4,4,NA,0,0,2,0,0,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0,0,6,3
"116","1",0,0,0,"5ec5e25",1,54,"자유/전문직","경기",4,4,1,1,0,2,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,-0.5,0,6,5
"117","1",0,0,0,"b97eb96",1,28,"사무/기술직","경기",4,4,2,0,1,4,0,-0.5,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,-0.5,-0.5,6,4
"118","1",0,0,0,"d6bae39",0,26,"자유/전문직","서울",4,4,NA,0,0,4,-0.5,0.5,-1,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,0.5,6,9
"119","1",0,0,0,"e9dea86",1,31,"무직","부산",4,4,2,0,1,3,-0.5,0,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,-0.5,-0.5,-0.5,2,6
"120","1",0,0,0,"b97b78e",1,41,"사무/기술직","강원",4,4,NA,0,0,3,-0.5,-0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0,6,3
"121","1",0,0,0,"dfe0273",0,21,"대학생","전북",3,3,1,1,0,3,-1,0,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0.5,5,5
"122","1",0,0,0,"55c7cec",1,37,"사무/기술직","서울",3,3,NA,0,0,3,-1,0.5,-1,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,1,1,6,7
"123","1",0,0,0,"38e5621",1,53,"경영/관리직","경기",4,4,NA,0,0,1,0,0,-1,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,-0.5,-0.5,-0.5,6,11
"124","1",0,0,0,"301c262",1,59,"자영업","전남",4,4,2,0,1,4,0.5,0,0,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,0.5,0,4,4
"125","1",0,0,0,"8523125",1,37,"자영업","경북",2,2,5,1,0,3,-1,0.5,-1,-0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,1,1,6,4
"126","1",0,0,0,"c3fcaaf",1,37,"사무/기술직","서울",4,4,1,1,0,2,-0.5,0.5,-1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0.5,0.5,6,5
"127","1",0,0,0,"d5ae70d",0,21,"대학생","경기",NA,3,NA,0,0,3,0,-1,-1,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,-1,0.5,-0.5,5,4
"128","1",0,0,0,"f124378",0,46,"전업주부","서울",2,2,1,1,0,4,-0.5,0.5,-1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,0.5,0.5,4,3
"129","1",0,0,0,"d7e2c0e",1,51,"자영업","경남",2,2,1,1,0,3,0,0,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0,0,6,5
"130","1",0,0,0,"dd7d080",0,40,"사무/기술직","서울",2,2,1,1,0,5,0,0,-1,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,0.5,0.5,6,7
"131","1",0,0,0,"86d96b3",0,51,"판매/영업 서비스직","부산",2,2,2,0,1,4,-0.5,0.5,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0.5,0.5,6,7
"132","1",0,0,0,"aa5b57f",1,27,"판매/영업 서비스직","서울",3,3,NA,0,0,2,0,0,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0,0.5,4,4
"133","1",0,0,0,"bb0a23e",1,51,"경영/관리직","경기",2,2,1,1,0,3,0,1,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,6,8
"134","1",0,0,0,"ee62576",1,24,"대학생","서울",4,4,2,0,1,3,-0.5,-0.5,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1,-1,-1,5,8
"135","1",0,0,0,"d214bb4",1,24,"대학생","경남",3,3,NA,0,0,3,0,-0.5,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0,0,6,3
"136","1",0,0,0,"4a3b9e1",1,42,"자영업","경기",3,3,3,1,0,3,-0.5,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0.5,0.5,6,2
"137","1",0,0,0,"38f35ee",1,56,"사무/기술직","서울",3,3,NA,0,0,4,0,0.5,0,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,-0.5,-0.5,0.5,2,6
"138","1",0,0,0,"5bda845",0,59,"전업주부","경기",4,4,NA,0,0,3,-0.5,0.5,-0.5,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,2,8
"139","1",0,0,0,"8d81d7b",1,51,"사무/기술직","경북",2,2,1,1,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,8,6
"140","1",0,0,0,"b654a80",1,24,"대학생","부산",3,3,NA,0,0,2,0,0,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0,0,5,7
"141","1",0,0,0,"e06f1df",0,50,"무직","대구",3,3,2,0,1,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,1,1,2,3
"142","1",0,0,0,"3d143c4",1,44,"사무/기술직","경기",2,2,1,1,0,2,-0.5,1,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,0,0.5,6,8
"143","1",0,0,0,"dbc0bbc",1,36,"사무/기술직","경북",5,5,1,1,0,4,-0.5,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,0.5,6,5
"144","1",0,0,0,"0e517f5",0,58,"전업주부","경기",5,5,2,0,1,3,-0.5,-0.5,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0.5,0.5,2,4
"145","1",0,0,0,"945b744",0,48,"전업주부","인천",2,2,1,1,0,4,-0.5,0.5,-1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,1,1,4,8
"146","1",0,0,0,"4741ac9",1,24,"무직","인천",3,3,NA,0,0,2,-0.5,0.5,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1,-0.5,0,-0.5,8,2
"147","1",0,0,0,"e105a48",0,25,"무직","서울",3,3,NA,0,0,2,0,0.5,-1,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1,1,1,6,11
